source,title,summary,link,published,sentiment,umap1,umap2
AP news,"Russia bans jet skis, ride-hailing ahead of WWII tributes","<p>KYIV, Ukraine (AP) — Russia enacted a major security clampdown ahead of Tuesday’s annual commemorations marking the defeat of Nazi Germany in World War II, curbing the use of drones, jet skis and car-sharing services in its largest cities amid its 14-month war with Ukraine.</p>",https://apnews.com/article/russia-ukraine-war-drones-attack-6992b7e905e4449f9888ccfcfd607b3f,"Mon, 08 May 2023 12:40:21 -0000",negative,14.142103,-2.6400616
AP news,War overshadows holiday integral to Russian identity,"<p>Victory Day, Russia’s most important secular holiday, lauds two tenets that are central to its identity: military might and moral rectitude.</p>",https://apnews.com/article/russia-victory-day-bedd00b6b6fe76f71764417e24631743,"Mon, 08 May 2023 13:22:54 -0000",neutral,14.551881,-2.4315221
AP news,"USAID chief Power heads to Serbia, Kosovo to lower tensions","<p>WASHINGTON (AP) — The United States' top international development chief, Samantha Power, is heading to Serbia and Kosovo this week to meet with leaders there, as U.S.</p>",https://apnews.com/article/serbia-kosovo-united-states-russia-usaid-power-349520980ee6141e0e83c497de909ed6,"Mon, 08 May 2023 13:30:19 -0000",neutral,16.022436,-3.1762683
AP news,"UN urges Afghanistan’s Taliban to end floggings, executions","<p>ISLAMABAD (AP) — A U.N. report on Monday strongly criticized the Taliban for carrying out public executions, lashings and stonings since seizing power in Afghanistan, and called on the country's rulers to halt such practices.</p>",https://apnews.com/article/un-report-taliban-punishment-death-penalty-bf9fca3e2a177f9fb9fec8d52e57b91d,"Mon, 08 May 2023 05:43:55 -0000",negative,14.5389595,-1.680426
AP news,Fire deep in gold mine in southern Peru kills 27 workers,"<p>LIMA, Peru (AP) — A fire broke out deep in a gold mine in southern Peru and killed at least 27 workers during an overnight shift, Peruvian authorities reported.</p>
<p>The Yanaquihua mining company said in a statement that 175 workers had been safely evacuated after the accident, which happened late Friday or early Saturday.</p>",https://apnews.com/article/peru-mine-accident-dead-d0c26237a3aa074c863761ace2c7f45c,"Mon, 08 May 2023 05:23:38 -0000",negative,14.822678,-3.2344735
AP news,Macron leads ceremony marking end of WWII in Europe,"<p>PARIS (AP) — French President Emmanuel Macron led the traditional ceremony on Paris’ Champs-Elysees Monday, commemorating the day that marked the end of World War II in Europe in 1945.</p>
<p>Flanked by Prime Minister Elisabeth Borne, Macron laid a wreath at the Tomb of the Unknown Soldier under the Arc de Triomphe monument.</p>",https://apnews.com/article/fe-day-macron-france-781e633a0cfca755fdec533da544db1b,"Mon, 08 May 2023 14:52:56 -0000",neutral,15.556605,-0.8925323
AP news,Tourist boat capsizes in southern India; at least 22 dead,"<p>NEW DELHI (AP) — A double-decker boat carrying more than 30 passengers capsized Sunday night off a beach in southern India, and more than 22 people including children died, officials said.</p>
<p>Police officer Abdul Nazar said the rescue teams were expecting to recover more bodies from inside the boat after pulling it ashore from the muddy waters.</p>",https://apnews.com/article/india-kerala-boat-capsizes-fc30af86faf7024d88a2bae69b65e36d,"Mon, 08 May 2023 09:49:59 -0000",negative,14.403378,-3.054559
AP news,Nigeria court hears opposition’s presidential vote challenge,"<p>ABUJA, Nigeria (AP) — A Nigerian court on Monday began its hearing on separate suits filed by the opposition to challenge the incumbent party's victory in the country's presidential election.</p>
<p>The presidential tribunal at the Court of Appeal in the capital, Abuja, heard the opening statements of lawyers representing opposition parties, which are the challenging the outcome of the February vote won by Bola Tinubu of the ruling All Progressives Congress.</p>",https://apnews.com/article/nigeria-presidential-election-court-tinubu-obi-abubakar-ad2ff123f2770948182febf5b2fe9280,"Mon, 08 May 2023 13:45:45 -0000",neutral,14.983891,-1.1517527
AP news,Turkish opposition rally cut short due to violence,"<p>ISTANBUL (AP) — More than a dozen people have been detained over violence against an opposition election rally in Turkey’s eastern city of Erzurum over the weekend, the country’s justice minister said Monday.</p>",https://apnews.com/article/turkey-erdogan-election-imamoglu-erzurum-kilicdaroglu-743cf8a52162eac661f0b80973dc8daa,"Mon, 08 May 2023 12:24:36 -0000",negative,14.958945,-2.6875749
AP news,ASEAN leaders to tackle regional crises at tropical resort,"<p>LABUAN BAJO, Indonesia (AP) — A picturesque tourist destination will host crisis-weary Southeast Asian leaders with sun-splashed tropical islands, turquoise waters brimming with corals and manta rays, seafood feasts, and a hillside savannah crawling with Komodo dragons.</p>",https://apnews.com/article/asean-southeast-asia-labuan-bajo-indonesia-1ff5a392bc2918704218b2afac5d6cfb,"Mon, 08 May 2023 08:37:47 -0000",neutral,16.242136,-1.8756381
AP news,Out-of-control wildfires cause evacuations in western Canada,"<p>EDMONTON, Alberta (AP) — Fire crews battled wildfires threatening communities in western Canada on Sunday as cooler temperatures and a bit of rain brought some relief, but officials warned the reprieve came only in some areas.</p>",https://apnews.com/article/canada-wildfires-alberta-british-columbia-de8f14beff8c90cd2d43cab032a64535,"Mon, 08 May 2023 01:03:40 -0000",negative,15.098073,-1.6176012
